DATE,SP500
1/29/18,2853.53
1/30/18,2822.43
1/31/18,2823.81
2/1/18,2821.98
2/2/18,2762.13
2/5/18,2648.94
2/6/18,2695.14
2/7/18,2681.66
2/8/18,2581
2/9/18,2619.55
2/12/18,2656
2/13/18,2662.94
2/14/18,2698.63
2/15/18,2731.2
2/16/18,2732.22
2/20/18,2716.26
2/21/18,2701.33
2/22/18,2703.96
2/23/18,2747.3
2/26/18,2779.6
2/27/18,2744.28
2/28/18,2713.83
3/1/18,2677.67
3/2/18,2691.25
3/5/18,2720.94
3/6/18,2728.12
3/7/18,2726.8
3/8/18,2738.97
3/9/18,2786.57
3/12/18,2783.02
3/13/18,2765.31
3/14/18,2749.48
3/15/18,2747.33
3/16/18,2752.01
3/19/18,2712.92
3/20/18,2716.94
3/21/18,2711.93
3/22/18,2643.69
3/23/18,2588.26
3/26/18,2658.55
3/27/18,2612.62
3/28/18,2605
3/29/18,2640.87
4/2/18,2581.88
4/3/18,2614.45
4/4/18,2644.69
4/5/18,2662.84
4/6/18,2604.47
4/9/18,2613.16
4/10/18,2656.87
4/11/18,2642.19
4/12/18,2663.99
4/13/18,2656.3
4/16/18,2677.84
4/17/18,2706.39
4/18/18,2708.64
4/19/18,2693.13
4/20/18,2670.14
4/23/18,2670.29
4/24/18,2634.56
4/25/18,2639.4
4/26/18,2666.94
4/27/18,2669.91
4/30/18,2648.05
5/1/18,2654.8
5/2/18,2635.67
5/3/18,2629.73
5/4/18,2663.42
5/7/18,2672.63
5/8/18,2671.92
5/9/18,2697.79
5/10/18,2723.07
5/11/18,2727.72
5/14/18,2730.13
5/15/18,2711.45
5/16/18,2722.46
5/17/18,2720.13
5/18/18,2712.97
5/21/18,2733.01
5/22/18,2724.44
5/23/18,2733.29
5/24/18,2727.76
5/25/18,2721.33
5/29/18,2689.86
5/30/18,2724.01
5/31/18,2705.27
6/1/18,2734.62
6/4/18,2746.87
6/5/18,2748.8
6/6/18,2772.35
6/7/18,2770.37
6/8/18,2779.03
6/11/18,2782
6/12/18,2786.85
6/13/18,2775.63
6/14/18,2782.49
6/15/18,2779.66
6/18/18,2773.75
6/19/18,2762.59
6/20/18,2767.32
6/21/18,2749.76
6/22/18,2754.88
6/25/18,2717.07
6/26/18,2723.06
6/27/18,2699.63
6/28/18,2716.31
6/29/18,2718.37
7/2/18,2726.71
7/3/18,2713.22
7/5/18,2736.61
7/6/18,2759.82
7/9/18,2784.17
7/10/18,2793.84
7/11/18,2774.02
7/12/18,2798.29
7/13/18,2801.31
7/16/18,2798.43
7/17/18,2809.55
7/18/18,2815.62
7/19/18,2804.49
7/20/18,2801.83
7/23/18,2806.98
7/24/18,2820.4
7/25/18,2846.07
7/26/18,2837.44
7/27/18,2818.82
7/30/18,2802.6
7/31/18,2816.29
8/1/18,2813.36
8/2/18,2827.22
8/3/18,2840.35
8/6/18,2850.4
8/7/18,2858.45
8/8/18,2857.7
8/9/18,2853.58
8/10/18,2833.28
8/13/18,2821.93
8/14/18,2839.96
8/15/18,2818.37
8/16/18,2840.69
8/17/18,2850.13
8/20/18,2857.05
8/21/18,2862.96
8/22/18,2861.82
8/23/18,2856.98
8/24/18,2874.69
8/27/18,2896.74
8/28/18,2897.52
8/29/18,2914.04
8/30/18,2901.13
8/31/18,2901.52
9/4/18,2896.72
9/5/18,2888.6
9/6/18,2878.05
9/7/18,2871.68
9/10/18,2877.13
9/11/18,2887.89
9/12/18,2888.92
9/13/18,2904.18
9/14/18,2904.98
9/17/18,2888.8
9/18/18,2904.31
9/19/18,2907.95
9/20/18,2930.75
9/21/18,2929.67
9/24/18,2919.37
9/25/18,2915.56
9/26/18,2905.97
9/27/18,2914
9/28/18,2913.98
10/1/18,2924.59
10/2/18,2923.43
10/3/18,2925.51
10/4/18,2901.61
10/5/18,2885.57
10/8/18,2884.43
10/9/18,2880.34
10/10/18,2785.68
10/11/18,2728.37
10/12/18,2767.13
10/15/18,2750.79
10/16/18,2809.92
10/17/18,2809.21
10/18/18,2768.78
10/19/18,2767.78
10/22/18,2755.88
10/23/18,2740.69
10/24/18,2656.1
10/25/18,2705.57
10/26/18,2658.69
10/29/18,2641.25
10/30/18,2682.63
10/31/18,2711.74
11/1/18,2740.37
11/2/18,2723.06
11/5/18,2738.31
11/6/18,2755.45
11/7/18,2813.89
11/8/18,2806.83
11/9/18,2781.01
11/12/18,2726.22
11/13/18,2722.18
11/14/18,2701.58
11/15/18,2730.2
11/16/18,2736.27
11/19/18,2690.73
11/20/18,2641.89
11/21/18,2649.93
11/23/18,2632.56
11/26/18,2673.45
11/27/18,2682.17
11/28/18,2743.79
11/29/18,2737.76
11/30/18,2760.17
12/3/18,2790.37
12/4/18,2700.06
12/6/18,2695.95
12/7/18,2633.08
12/10/18,2637.72
12/11/18,2636.78
12/12/18,2651.07
12/13/18,2650.54
12/14/18,2599.95
12/17/18,2545.94
12/18/18,2546.16
12/19/18,2506.96
12/20/18,2467.42
12/21/18,2416.62
12/24/18,2351.1
12/26/18,2467.7
12/27/18,2488.83
12/28/18,2485.74
12/31/18,2506.85
1/2/19,2510.03
1/3/19,2447.89
1/4/19,2531.94
1/7/19,2549.69
1/8/19,2574.41
1/9/19,2584.96
1/10/19,2596.64
1/11/19,2596.26
1/14/19,2582.61
1/15/19,2610.3
1/16/19,2616.1
1/17/19,2635.96
1/18/19,2670.71
1/22/19,2632.9
1/23/19,2638.7
1/24/19,2642.33
1/25/19,2664.76
1/28/19,2643.85
1/29/19,2640
1/30/19,2681.05
1/31/19,2704.1
2/1/19,2706.53
2/4/19,2724.87
2/5/19,2737.7
2/6/19,2731.61
2/7/19,2706.05
2/8/19,2707.88
2/11/19,2709.8
2/12/19,2744.73
2/13/19,2753.03
2/14/19,2745.73
2/15/19,2775.6
2/19/19,2779.76
2/20/19,2784.7
2/21/19,2774.88
2/22/19,2792.67
2/25/19,2796.11
2/26/19,2793.9
2/27/19,2792.38
2/28/19,2784.49
3/1/19,2803.69
3/4/19,2792.81
3/5/19,2789.65
3/6/19,2771.45
3/7/19,2748.93
3/8/19,2743.07
3/11/19,2783.3
3/12/19,2791.52
3/13/19,2810.92
3/14/19,2808.48
3/15/19,2822.48
3/18/19,2832.94
3/19/19,2832.57
3/20/19,2824.23
3/21/19,2854.88
3/22/19,2800.71
3/25/19,2798.36
3/26/19,2818.46
3/27/19,2805.37
3/28/19,2815.44
3/29/19,2834.4
4/1/19,2867.19
4/2/19,2867.24
4/3/19,2873.4
4/4/19,2879.39
4/5/19,2892.74
4/8/19,2895.77
4/9/19,2878.2
4/10/19,2888.21
4/11/19,2888.32
4/12/19,2907.41
4/15/19,2905.58
4/16/19,2907.06
4/17/19,2900.45
4/18/19,2905.03
4/22/19,2907.97
4/23/19,2933.68
4/24/19,2927.25
4/25/19,2926.17
4/26/19,2939.88
4/29/19,2943.03
4/30/19,2945.83
5/1/19,2923.73
5/2/19,2917.52
5/3/19,2945.64
5/6/19,2932.47
5/7/19,2884.05
5/8/19,2879.42
5/9/19,2870.72
5/10/19,2881.4
5/13/19,2811.87
5/14/19,2834.41
5/15/19,2850.96
5/16/19,2876.32
5/17/19,2859.53
5/20/19,2840.23
5/21/19,2864.36
5/22/19,2856.27
5/23/19,2822.24
5/24/19,2826.06
5/28/19,2802.39
5/29/19,2783.02
5/30/19,2788.86
5/31/19,2752.06
6/3/19,2744.45
6/4/19,2803.27
6/5/19,2826.15
6/6/19,2843.49
6/7/19,2873.34
6/10/19,2886.73
6/11/19,2885.72
6/12/19,2879.84
6/13/19,2891.64
6/14/19,2886.98
6/17/19,2889.67
6/18/19,2917.75
6/19/19,2926.46
6/20/19,2954.18
6/21/19,2950.46
6/24/19,2945.35
6/25/19,2917.38
6/26/19,2913.78
